id,product_category,product_subcategory,quantity_kg,unit_price_initial,days_until_expiry,storage_condition,packaging_type,collection_datetime,day_of_week,month_of_year,season,is_holiday,pickup_store_id,pickup_city,distance_to_partner_km,partner_id_destination,partner_storage_capacity,partner_typical_demand,weather_temperature,rainfall_mm,time_to_sell_hours,was_sold,final_discount_rate,wastage_reason,partner_satisfaction_score
26,Boulangerie,Viennoiserie,10.8,1.52,1,Ambiante,Sachet,2025-06-13 18:00:00,Friday,6,Pluies,0,S014,Abidjan,6.8,P015,506,364.8,30.6,7.6,16.1,0,64.1,Périmé avant collecte partenaire,2
27,Épicerie Sèche,Conserves,66.3,1.69,33,Sec,Carton,2025-05-27 21:00:00,Tuesday,5,Pluies,0,S001,Abidjan,16.3,P017,1108,758.3,33.5,0.6,109.0,1,65.3,,3
28,Produits Laitiers,Yaourt,161.7,1.64,3,Frais,Vrac,2024-11-22 22:00:00,Friday,11,Sèche,0,S023,Yamoussoukro,41.0,P019,985,58.2,29.0,3.2,19.1,1,59.2,,3
29,Boulangerie,Viennoiserie,18.4,1.39,2,Ambiante,Carton,2024-02-18 04:00:00,Sunday,2,Sèche,0,S040,Bouaké,36.5,P012,957,366.1,32.4,5.5,25.4,0,76.8,Périmé avant collecte partenaire,1
30,Viande & Poisson,Charcuterie,20.4,3.67,2,Frais,Vrac,2024-01-25 07:00:00,Thursday,1,Sèche,0,S019,Yamoussoukro,11.8,P008,1824,380.4,27.3,1.8,17.6,1,60.1,,3
31,Épicerie Sèche,Céréales,42.2,2.17,57,Sec,Carton,2024-07-31 06:00:00,Wednesday,7,Pluies,0,S020,Abidjan,37.0,P015,1630,406.4,32.5,3.5,463.4,0,69.3,Surstock partenaire (capacité pleine),1
32,Boulangerie,Pain,57.5,1.7,1,Ambiante,Carton,2025-03-28 08:00:00,Friday,3,Sèche,1,S039,Abidjan,21.1,P021,360,678.2,30.4,6.2,8.6,1,57.6,,4
33,Produits Laitiers,Beurre,22.0,2.3,4,Frais,Carton,2024-06-02 13:00:00,Sunday,6,Pluies,0,S008,Bouaké,33.6,P023,1604,485.7,32.1,4.2,24.7,1,59.2,,4
34,Fruits & Légumes,Fruits à coque,38.2,1.2,1,Frais,Plastique,2024-03-17 19:00:00,Sunday,3,Sèche,1,S003,Abidjan,27.2,P023,758,150.1,31.5,1.3,6.7,1,42.5,,4
35,Viande & Poisson,Boeuf,16.7,4.15,1,Frais,Plastique,2024-02-10 23:00:00,Saturday,2,Sèche,0,S018,Abidjan,27.7,P019,1971,423.8,26.8,2.2,10.7,1,50.9,,4
36,Fruits & Légumes,Légumes feuilles,36.3,1.16,2,Frais,Carton,2025-02-25 04:00:00,Tuesday,2,Sèche,1,S027,Yamoussoukro,44.5,P017,277,309.1,32.4,0.1,17.9,1,36.4,,4
37,Épicerie Sèche,Céréales,10.4,1.91,57,Sec,Carton,2024-01-04 19:00:00,Thursday,1,Sèche,0,S032,Bouaké,34.5,P002,1166,193.2,30.6,2.2,374.4,1,63.1,,2
38,Fruits & Légumes,Légumes racines,29.5,1.26,3,Frais,Vrac,2025-01-20 17:00:00,Monday,1,Sèche,0,S003,Korhogo,12.6,P019,1221,176.1,29.3,1.0,29.5,0,54.4,Problème logistique / retard transport,3
39,Fruits & Légumes,Fruits à noyau,25.2,1.27,2,Frais,Carton,2025-02-25 01:00:00,Tuesday,2,Sèche,1,S004,Korhogo,18.5,P011,1289,745.5,26.3,0.9,10.7,1,65.4,,4
40,Fruits & Légumes,Fruits à coque,38.0,1.45,2,Frais,Sachet,2024-07-14 02:00:00,Sunday,7,Pluies,0,S021,Abidjan,29.6,P022,1402,258.9,28.2,5.3,20.1,1,72.2,,3
41,Surgelés,Plats préparés surgelés,28.0,3.74,8,Surgelé,Vrac,2025-04-16 14:00:00,Wednesday,4,Pluies,0,S037,Abidjan,2.2,P003,398,387.4,28.0,10.8,51.5,0,78.4,Refusé par partenaire (qualité),2
42,Fruits & Légumes,Légumes feuilles,29.8,1.52,3,Frais,Plastique,2024-06-29 01:00:00,Saturday,6,Pluies,0,S030,San-Pédro,10.5,P005,1349,165.3,28.7,2.0,18.5,1,77.5,,5
43,Boulangerie,Pain,12.6,1.81,1,Ambiante,Carton,2024-06-18 07:00:00,Tuesday,6,Pluies,0,S002,Abidjan,32.9,P002,243,609.3,31.5,0.5,13.4,1,35.9,,3
44,Viande & Poisson,Poisson frais,8.4,4.46,1,Frais,Plastique,2025-02-02 15:00:00,Sunday,2,Sèche,0,S022,Bouaké,10.2,P008,1234,439.0,27.5,0.3,13.6,0,77.2,Périmé avant collecte partenaire,1
45,Fruits & Légumes,Agrumes,60.5,1.4,2,Frais,Carton,2025-04-29 11:00:00,Tuesday,4,Pluies,0,S013,Abidjan,34.7,P008,1011,773.1,25.5,3.2,15.7,1,73.0,,4
46,Produits Laitiers,Lait,49.4,2.6,4,Frais,Plastique,2024-03-06 17:00:00,Wednesday,3,Sèche,1,S015,Yamoussoukro,2.6,P013,1568,579.2,32.4,3.1,12.6,1,58.6,,3
47,Fruits & Légumes,Fruits à coque,33.1,1.33,3,Frais,Plastique,2025-02-19 13:00:00,Wednesday,2,Sèche,0,S031,Abidjan,16.8,P004,393,594.2,26.2,0.9,29.7,0,84.0,Refusé par partenaire (qualité),1
48,Boulangerie,Pain,59.5,1.54,2,Ambiante,Carton,2025-02-24 11:00:00,Monday,2,Sèche,1,S031,San-Pédro,1.1,P014,1803,243.3,31.2,1.3,13.3,1,34.4,,3
49,Fruits & Légumes,Fruits à coque,60.1,1.35,3,Frais,Plastique,2024-10-12 10:00:00,Saturday,10,Pluies,0,S025,Yamoussoukro,35.6,P021,1802,228.1,28.0,0.9,22.8,0,71.5,Problème logistique / retard transport,2
50,Surgelés,Viande surgelée,55.8,3.42,35,Surgelé,Plastique,2024-01-14 02:00:00,Sunday,1,Sèche,0,S004,Abidjan,33.1,P016,1938,201.2,28.3,0.5,147.6,1,75.2,,3
51,Fruits & Légumes,Légumes feuilles,28.2,1.52,3,Frais,Vrac,2024-01-18 15:00:00,Thursday,1,Sèche,0,S031,Bouaké,17.4,P022,149,677.5,29.5,4.1,16.0,1,46.1,,5
52,Produits Laitiers,Beurre,21.2,1.69,1,Frais,Carton,2024-06-20 12:00:00,Thursday,6,Pluies,0,S024,Bouaké,8.9,P017,192,478.1,32.6,17.0,18.8,0,62.0,Périmé avant collecte partenaire,4
53,Produits Laitiers,Lait,36.6,2.0,4,Frais,Plastique,2025-05-10 05:00:00,Saturday,5,Pluies,0,S014,Yamoussoukro,14.2,P016,581,363.4,28.2,0.8,29.9,1,48.2,,4
54,Fruits & Légumes,Légumes feuilles,14.5,1.07,1,Frais,Sachet,2024-08-12 18:00:00,Monday,8,Pluies,0,S029,Abidjan,44.7,P016,639,550.6,29.9,2.0,14.4,1,77.2,,2
55,Surgelés,Plats préparés surgelés,18.7,3.29,19,Surgelé,Plastique,2024-05-04 01:00:00,Saturday,5,Pluies,0,S039,Bouaké,25.1,P015,419,442.5,32.3,14.5,112.1,1,36.8,,3
56,Épicerie Sèche,Conserves,28.1,2.0,46,Sec,Vrac,2024-06-07 03:00:00,Friday,6,Pluies,0,S013,Bouaké,16.1,P007,900,424.7,25.5,5.4,150.8,1,58.6,,3
57,Produits Laitiers,Yaourt,115.4,2.43,2,Frais,Vrac,2025-05-22 19:00:00,Thursday,5,Pluies,0,S020,Abidjan,4.5,P013,1544,262.4,24.3,6.5,15.0,1,68.3,,5
58,Boulangerie,Pâtisserie,74.7,1.42,2,Ambiante,Plastique,2024-12-11 20:00:00,Wednesday,12,Sèche,0,S021,Abidjan,44.9,P002,1410,625.6,31.4,3.2,18.9,1,74.0,,3
59,Fruits & Légumes,Agrumes,30.4,0.98,2,Frais,Carton,2025-03-14 04:00:00,Friday,3,Sèche,1,S002,Abidjan,3.3,P002,81,502.9,26.7,3.3,10.0,1,63.1,,4
60,Viande & Poisson,Charcuterie,19.0,5.52,1,Frais,Sachet,2025-05-02 12:00:00,Friday,5,Pluies,0,S024,Yamoussoukro,9.0,P004,1000,405.9,31.3,0.9,9.5,1,50.0,,4
61,Épicerie Sèche,Céréales,11.5,1.77,8,Sec,Plastique,2025-03-16 21:00:00,Sunday,3,Sèche,1,S013,San-Pédro,22.1,P025,232,496.5,31.0,1.9,40.9,1,69.0,,3
62,Épicerie Sèche,Riz,10.5,1.89,16,Sec,Vrac,2024-06-22 02:00:00,Saturday,6,Pluies,0,S001,Abidjan,18.2,P003,1127,610.7,24.8,1.7,88.3,1,72.6,,5
63,Surgelés,Viande surgelée,22.7,3.44,29,Surgelé,Carton,2024-05-04 10:00:00,Saturday,5,Pluies,0,S016,Yamoussoukro,3.0,P013,635,281.8,31.1,0.4,182.3,0,89.3,Périmé avant collecte partenaire,3
64,Fruits & Légumes,Agrumes,47.3,0.98,2,Frais,Vrac,2025-03-22 20:00:00,Saturday,3,Sèche,1,S025,Bouaké,3.1,P020,1729,153.0,27.2,0.6,12.0,1,55.4,,3
65,Viande & Poisson,Charcuterie,9.1,4.26,1,Frais,Plastique,2024-01-04 12:00:00,Thursday,1,Sèche,0,S023,San-Pédro,8.4,P022,1273,549.0,27.5,6.5,21.1,0,74.6,Problème logistique / retard transport,2
66,Épicerie Sèche,Conserves,7.2,1.63,40,Sec,Vrac,2024-08-15 05:00:00,Thursday,8,Pluies,0,S025,Abidjan,6.9,P018,198,98.9,24.3,0.5,242.6,1,48.6,,3
67,Produits Laitiers,Beurre,42.5,1.98,3,Frais,Vrac,2024-03-06 08:00:00,Wednesday,3,Sèche,1,S035,Bouaké,10.5,P009,172,536.7,26.8,0.5,24.2,0,83.7,Périmé avant collecte partenaire,1
68,Fruits & Légumes,Fruits à coque,6.4,1.31,1,Frais,Vrac,2025-05-29 07:00:00,Thursday,5,Pluies,0,S033,San-Pédro,38.7,P022,105,401.9,31.3,10.4,11.9,1,79.7,,2
69,Épicerie Sèche,Conserves,10.4,2.1,51,Sec,Sachet,2024-10-10 16:00:00,Thursday,10,Pluies,0,S023,Yamoussoukro,36.0,P001,511,87.6,26.2,2.8,541.4,0,88.6,Périmé avant collecte partenaire,1
70,Boulangerie,Viennoiserie,18.4,1.4,1,Ambiante,Vrac,2024-07-17 23:00:00,Wednesday,7,Pluies,0,S040,Bouaké,26.6,P021,809,96.8,30.9,3.5,13.1,1,48.0,,3
71,Épicerie Sèche,Riz,24.8,2.08,69,Sec,Plastique,2025-06-09 06:00:00,Monday,6,Pluies,0,S030,Yamoussoukro,1.5,P025,1739,428.3,29.2,16.5,308.4,1,55.6,,4
72,Épicerie Sèche,Céréales,16.8,1.93,8,Sec,Plastique,2024-09-28 07:00:00,Saturday,9,Pluies,0,S015,Korhogo,38.0,P024,509,327.2,31.4,2.8,72.9,0,50.9,Problème logistique / retard transport,1
73,Épicerie Sèche,Riz,14.0,1.55,1,Sec,Vrac,2024-06-04 00:00:00,Tuesday,6,Pluies,0,S009,Korhogo,17.0,P003,965,268.9,29.4,6.8,12.0,1,64.3,,4
74,Fruits & Légumes,Fruits à noyau,32.4,1.2,1,Frais,Plastique,2024-11-28 12:00:00,Thursday,11,Sèche,0,S016,Bouaké,41.7,P010,1540,598.8,27.9,2.1,13.5,1,55.5,,4
75,Produits Laitiers,Lait,28.9,2.54,5,Frais,Plastique,2024-01-29 06:00:00,Monday,1,Sèche,0,S026,Bouaké,13.7,P014,490,572.2,32.9,4.5,23.8,1,45.2,,4
76,Produits Laitiers,Lait,42.3,1.74,3,Frais,Carton,2025-05-10 05:00:00,Saturday,5,Pluies,0,S025,Abidjan,28.2,P015,1677,412.5,26.8,5.6,25.1,1,48.9,,2
77,Produits Laitiers,Lait,16.6,2.46,2,Frais,Plastique,2024-03-20 11:00:00,Wednesday,3,Sèche,1,S019,Bouaké,21.8,P014,91,655.2,24.5,0.5,12.5,1,66.8,,4
78,Épicerie Sèche,Riz,13.3,1.64,23,Sec,Plastique,2025-06-22 05:00:00,Sunday,6,Pluies,0,S029,Yamoussoukro,9.6,P020,1907,719.8,29.2,6.2,96.6,1,39.8,,3
79,Boulangerie,Pâtisserie,3.9,1.89,1,Ambiante,Sachet,2025-01-01 18:00:00,Wednesday,1,Sèche,1,S030,Abidjan,29.7,P017,802,434.0,22.2,4.2,12.2,0,52.0,Périmé avant collecte partenaire,1
80,Surgelés,Viande surgelée,15.7,2.54,42,Surgelé,Carton,2024-05-09 17:00:00,Thursday,5,Pluies,0,S012,Abidjan,5.6,P003,1071,555.9,31.0,1.8,216.8,1,42.6,,4
81,Viande & Poisson,Volaille,50.7,5.07,2,Frais,Vrac,2024-07-19 15:00:00,Friday,7,Pluies,0,S030,Bouaké,39.0,P024,1639,87.4,29.7,1.1,26.2,0,62.4,Problème logistique / retard transport,1
82,Produits Laitiers,Lait,9.2,1.66,1,Frais,Sachet,2024-12-11 12:00:00,Wednesday,12,Sèche,0,S005,Abidjan,26.7,P009,439,25.3,27.2,11.4,19.0,0,74.4,Périmé avant collecte partenaire,2
83,Épicerie Sèche,Pâtes,33.3,1.62,65,Sec,Plastique,2024-02-19 20:00:00,Monday,2,Sèche,0,S012,Korhogo,12.4,P022,364,166.7,26.7,5.2,340.1,1,77.8,,3
84,Fruits & Légumes,Agrumes,25.4,0.97,1,Frais,Carton,2024-06-24 04:00:00,Monday,6,Pluies,0,S022,Abidjan,35.3,P011,1749,323.9,30.9,3.1,13.6,1,54.9,,4
85,Fruits & Légumes,Légumes feuilles,22.9,1.53,1,Frais,Vrac,2024-01-23 14:00:00,Tuesday,1,Sèche,0,S022,Bouaké,35.3,P010,785,25.6,30.2,2.1,19.9,0,83.7,Périmé avant collecte partenaire,1
86,Fruits & Légumes,Agrumes,13.7,1.16,3,Frais,Carton,2025-01-04 00:00:00,Saturday,1,Sèche,0,S013,Bouaké,4.9,P002,444,100.1,29.9,0.1,17.5,1,74.8,,4
87,Fruits & Légumes,Fruits à noyau,28.2,1.33,3,Frais,Vrac,2024-10-06 05:00:00,Sunday,10,Pluies,0,S004,Yamoussoukro,6.9,P013,1498,245.3,31.5,8.6,18.9,1,38.8,,5
88,Produits Laitiers,Lait,85.9,1.71,3,Frais,Carton,2024-12-18 04:00:00,Wednesday,12,Sèche,0,S019,Bouaké,34.7,P007,792,168.5,31.4,0.8,37.7,0,83.9,Surstock partenaire (capacité pleine),1
89,Produits Laitiers,Lait,63.5,2.08,3,Frais,Vrac,2025-01-12 09:00:00,Sunday,1,Sèche,0,S020,Abidjan,24.0,P003,1179,419.2,29.3,1.2,26.3,0,76.6,Refusé par partenaire (qualité),1
90,Épicerie Sèche,Riz,37.6,1.6,69,Sec,Vrac,2025-05-26 03:00:00,Monday,5,Pluies,0,S028,Yamoussoukro,22.0,P005,1485,239.0,25.9,3.1,820.5,0,89.6,Périmé avant collecte partenaire,2
91,Viande & Poisson,Poisson frais,25.2,4.94,2,Frais,Plastique,2024-07-05 02:00:00,Friday,7,Pluies,0,S031,Abidjan,22.4,P009,905,337.7,34.3,1.8,15.8,1,45.9,,2
92,Épicerie Sèche,Pâtes,39.2,2.28,46,Sec,Sachet,2025-05-19 21:00:00,Monday,5,Pluies,0,S014,San-Pédro,24.0,P009,415,270.1,27.5,5.1,281.5,1,45.8,,4
93,Viande & Poisson,Boeuf,26.1,5.38,1,Frais,Plastique,2024-05-20 15:00:00,Monday,5,Pluies,0,S028,San-Pédro,32.6,P001,244,424.8,28.9,3.3,21.8,0,53.1,Surstock partenaire (capacité pleine),1
94,Fruits & Légumes,Fruits à noyau,24.3,1.09,3,Frais,Sachet,2025-03-22 13:00:00,Saturday,3,Sèche,1,S032,Abidjan,1.5,P006,601,389.5,25.8,1.2,11.8,1,33.8,,2
95,Fruits & Légumes,Agrumes,27.7,1.02,2,Frais,Carton,2024-10-16 05:00:00,Wednesday,10,Pluies,0,S018,Bouaké,25.4,P018,196,376.0,29.8,2.5,20.4,0,50.2,Périmé avant collecte partenaire,1
96,Boulangerie,Pâtisserie,40.1,1.89,1,Ambiante,Vrac,2024-02-20 21:00:00,Tuesday,2,Sèche,0,S024,Yamoussoukro,31.5,P008,1538,225.2,32.9,1.9,12.2,1,60.3,,5
97,Fruits & Légumes,Légumes feuilles,20.1,1.01,2,Frais,Plastique,2025-05-06 15:00:00,Tuesday,5,Pluies,0,S014,Yamoussoukro,18.7,P017,367,557.3,30.1,0.3,17.2,1,64.9,,3
98,Viande & Poisson,Boeuf,40.1,4.37,2,Frais,Sachet,2024-07-04 08:00:00,Thursday,7,Pluies,0,S004,Yamoussoukro,18.7,P025,168,261.4,30.3,6.1,26.7,0,82.8,Périmé avant collecte partenaire,1
99,Viande & Poisson,Poisson frais,16.5,4.71,2,Frais,Vrac,2025-01-31 21:00:00,Friday,1,Sèche,0,S014,Bouaké,37.6,P007,1519,383.5,23.4,5.7,17.6,1,52.7,,4
100,Boulangerie,Pain,12.8,1.21,1,Ambiante,Vrac,2025-04-29 18:00:00,Tuesday,4,Pluies,0,S022,San-Pédro,31.3,P023,996,295.4,32.9,4.0,19.9,0,62.5,Périmé avant collecte partenaire,2
101,Surgelés,Plats préparés surgelés,12.9,3.32,17,Surgelé,Plastique,2024-12-16 02:00:00,Monday,12,Sèche,0,S026,Abidjan,26.7,P020,232,779.1,25.0,0.2,70.8,1,30.9,,3
102,Surgelés,Viande surgelée,26.1,2.86,41,Surgelé,Plastique,2024-03-29 21:00:00,Friday,3,Sèche,1,S023,Yamoussoukro,5.8,P005,638,39.9,31.0,12.1,146.1,1,44.8,,3
103,Fruits & Légumes,Fruits à coque,175.9,1.42,2,Frais,Plastique,2024-11-27 00:00:00,Wednesday,11,Sèche,0,S009,Abidjan,19.1,P020,1435,729.1,33.4,7.3,16.8,1,62.4,,3
104,Fruits & Légumes,Légumes racines,8.0,1.31,3,Frais,Sachet,2024-02-25 15:00:00,Sunday,2,Sèche,0,S040,Yamoussoukro,3.5,P017,1062,658.6,28.7,4.4,16.0,1,77.7,,3
105,Produits Laitiers,Lait,35.4,2.03,2,Frais,Plastique,2024-01-03 03:00:00,Wednesday,1,Sèche,0,S027,Korhogo,17.7,P014,853,294.3,30.7,3.7,18.5,1,65.8,,4
106,Viande & Poisson,Boeuf,65.4,5.4,1,Frais,Vrac,2024-10-26 16:00:00,Saturday,10,Pluies,0,S036,Bouaké,19.7,P004,635,481.7,23.4,7.9,17.1,0,65.6,Refusé par partenaire (qualité),1
107,Fruits & Légumes,Fruits à coque,3.1,1.17,3,Frais,Carton,2024-12-21 05:00:00,Saturday,12,Sèche,1,S009,Abidjan,32.1,P002,1645,521.8,26.0,2.8,11.3,1,75.0,,4
108,Viande & Poisson,Poisson frais,12.6,5.77,1,Frais,Vrac,2025-01-23 05:00:00,Thursday,1,Sèche,0,S039,Bouaké,37.6,P017,520,794.1,27.1,4.8,14.4,1,78.6,,4
109,Produits Laitiers,Lait,24.1,2.05,4,Frais,Carton,2024-06-26 17:00:00,Wednesday,6,Pluies,0,S035,Bouaké,23.0,P006,543,611.8,31.9,1.6,29.6,1,34.7,,4
110,Produits Laitiers,Fromage,15.6,2.19,2,Frais,Carton,2024-12-20 20:00:00,Friday,12,Sèche,1,S014,Bouaké,29.3,P010,375,542.8,26.7,10.2,10.6,1,59.9,,2
111,Produits Laitiers,Yaourt,12.5,1.98,2,Frais,Vrac,2024-12-25 13:00:00,Wednesday,12,Sèche,1,S024,Abidjan,44.2,P021,93,773.4,31.3,0.1,18.4,1,73.3,,3
112,Produits Laitiers,Lait,12.2,2.49,1,Frais,Vrac,2024-02-21 08:00:00,Wednesday,2,Sèche,0,S031,San-Pédro,1.6,P010,501,492.6,39.1,1.1,10.9,1,48.4,,4
113,Boulangerie,Viennoiserie,16.2,1.28,1,Ambiante,Plastique,2024-05-24 05:00:00,Friday,5,Pluies,0,S007,Abidjan,21.9,P005,152,768.0,27.2,0.7,21.9,0,62.6,Périmé avant collecte partenaire,3
114,Fruits & Légumes,Fruits à coque,70.6,1.4,1,Frais,Plastique,2025-06-15 09:00:00,Sunday,6,Pluies,0,S015,Abidjan,4.8,P007,1573,141.7,30.1,3.8,11.1,1,60.1,,3
115,Surgelés,Légumes surgelés,22.8,3.03,17,Surgelé,Carton,2025-05-02 15:00:00,Friday,5,Pluies,0,S009,Abidjan,22.9,P006,186,444.3,34.2,0.2,90.4,1,67.3,,5
116,Viande & Poisson,Volaille,7.8,5.19,1,Frais,Plastique,2025-03-09 12:00:00,Sunday,3,Sèche,1,S034,Bouaké,8.9,P022,485,239.2,32.4,3.4,9.7,1,48.0,,4
117,Épicerie Sèche,Céréales,35.3,2.31,19,Sec,Carton,2024-11-10 11:00:00,Sunday,11,Sèche,0,S032,Bouaké,10.4,P013,1009,429.0,26.0,1.7,115.7,1,71.8,,3
118,Viande & Poisson,Charcuterie,17.6,5.55,2,Frais,Sachet,2024-04-16 17:00:00,Tuesday,4,Pluies,0,S021,Korhogo,32.8,P024,257,277.0,27.6,0.7,14.6,1,75.4,,3
119,Fruits & Légumes,Légumes racines,3.3,1.52,2,Frais,Plastique,2024-06-02 00:00:00,Sunday,6,Pluies,0,S038,Abidjan,16.3,P019,1581,541.2,31.8,0.0,18.4,1,49.8,,4
120,Viande & Poisson,Volaille,43.8,4.94,2,Frais,Plastique,2024-12-18 04:00:00,Wednesday,12,Sèche,0,S016,Abidjan,28.3,P003,1249,326.0,30.1,8.8,19.3,1,45.9,,4
121,Épicerie Sèche,Céréales,17.6,2.18,57,Sec,Vrac,2025-05-28 22:00:00,Wednesday,5,Pluies,0,S039,Bouaké,28.8,P006,1355,217.9,34.7,6.8,341.1,1,46.6,,3
122,Boulangerie,Pain,10.6,1.61,1,Ambiante,Vrac,2025-05-14 08:00:00,Wednesday,5,Pluies,0,S001,Abidjan,33.1,P002,465,312.8,31.6,0.6,18.0,0,62.4,Problème logistique / retard transport,2
